komentar,kantor,letak,rating,sentimen,komentar_clean
parkirnya luas pelayananya bagus,KCP & PREMIER PROKLAMASI,Kota Jakarta Pusat,5,positif,parkirnya luas pelayananya bagus
pelayananya masyalah informatif dan ramah sekali. terima kasih mba aurora & mba ade.,KCP & PREMIER PROKLAMASI,Kota Jakarta Pusat,5,positif,pelayananya masyalah informatif ramah sekali. terima kasih mba aurora & mba ade.
nyaman,KCP & PREMIER PROKLAMASI,Kota Jakarta Pusat,5,positif,nyaman
"pelayanan csnya baik helpful,ramah dan bisa meberikan penjelasan yang baik",KCP MALL MANGGA DUA,Kota Jakarta Pusat,5,positif,"pelayanan csnya helpful,ramah meberikan penjelasan"
layanan pelangan memberikan penjelasan dan solusi yang jelas,KCP MALL MANGGA DUA,Kota Jakarta Pusat,5,positif,layanan pelangan penjelasan solusi
teler dan layanan pelangan yang sangat membantu,KCP MALL MANGGA DUA,Kota Jakarta Pusat,5,positif,teler layanan pelangan membantu
bank,KCP MALL MANGGA DUA,Kota Jakarta Pusat,4,positif,bank
"punya rek payrol, antrian cs-nya ramai, customer service hanya , tapi stafnya informatif dan ramah",KCP MALL AMBASADOR,Kota Jakarta Selatan,5,positif,"rek payrol, antrian cs-nya ramai, customer service , stafnya informatif ramah"
pelayanan memuaskan,KCP MALL AMBASADOR,Kota Jakarta Selatan,5,positif,pelayanan memuaskan
"maybank cabang mal ambasador. info dari staf maybank, untuk fasilitas atm setor tersedia di lantai mal ambasador",KCP MALL AMBASADOR,Kota Jakarta Selatan,5,positif,"maybank cabang mal ambasador. info staf maybank, fasilitas atm setor tersedia lantai mal ambasador"
"cepat, efisien dan tanpa biaya penarikan",KCP MANGGA BESAR,Kota Jakarta Barat,5,positif,"cepat, efisien biaya penarikan"
"sangat tertarik dengan transaksi saya. terima kasih bank yang hebat, karyawan yang hebat. terima kasih novi.",KCP MUARA KARANG,Kota Jakarta Utara,5,positif,"tertarik transaksi saya. terima kasih bank hebat, karyawan hebat. terima kasih novi."
teler bank winda dan manajer wulan sangat akomodatif dan profesional. membantu saya dengan sabar dan menyeluruh dengan perbankan saya bahkan pada waktu penutupan.,KCP MUARA KARANG,Kota Jakarta Utara,5,positif,teler bank winda manajer wulan akomodatif profesional. membantu sabar perbankan penutupan.
tempat terbaik di bulan mei,KCP MUARA KARANG,Kota Jakarta Utara,5,positif,terbaik mei
"pengalaman buka rekening dibantu customer service bu lesia, setelah sebelumnya diarahkan secara online via ap mu, ternyata eror system pas step finalized. dan bu lesia dengan senang hati bantu input manual ke system seluruh data saya. proses cukup memakan waktu dan antrian waktu itu masih beberapa nasabah lagi (berhubung customer service hanya seorang aja). tapi on the spot hari itu juga rekening dan kartu atm langsung aktif. dan petugas securitynya juga turut bantu mengarahkan setingan munya. sangat puas",KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,"pengalaman buka rekening dibantu customer service bu lesia, diarahkan online via ap mu, eror system pas step finalized. bu lesia senang hati bantu input manual system data saya. proses memakan antrian nasabah (berhubung customer service aja). spot rekening kartu atm langsung aktif. petugas securitynya bantu mengarahkan setingan munya. puas"
"ibu lesia, pelayanan terbaik.",KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,"lesia, pelayanan terbaik."
pelayanan petugas muara karang raya sangat memuaskan,KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,pelayanan petugas muara karang raya memuaskan
pelayanan seluruh petugas gercep masalah transaksi selesai …,KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,pelayanan petugas gercep transaksi selesai …
"maybank cabang ini semua staf sangat baik dan memuaskan servicenya, dari satpam, teler, bm, customer service mbak lesia , semua friendly dan helpful",KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,"maybank cabang staf memuaskan servicenya, satpam, teler, bm, customer service mbak lesia , friendly helpful"
"sangat membantu mba lesia, terima kasih banyak …",KCP MUARA KARANG RAYA,Kota Jakarta Utara,5,positif,"membantu mba lesia, terima kasih …"
pelayanan rama telerny rama baik dan security good job,KCP PALMERAH,Kota Jakarta Barat,5,positif,pelayanan rama telerny rama security good job
semuanya bagus …,KCP PALMERAH,Kota Jakarta Barat,5,positif,bagus …
mengantar.,KCP PALMERAH,Kota Jakarta Barat,5,positif,mengantar.
akses kendaran umum mudah,KCP PALMERAH,Kota Jakarta Barat,5,positif,akses kendaran mudah
lokasi strategis,KCP PALMERAH,Kota Jakarta Barat,5,positif,lokasi strategis
"pelayanan teler ramah dan cepat. pelayanan customer service karena cuma yang buka bahkan kadang cuma , jadi kalau lagi rame ya antri panjang.",KCP Puri Sentra Niaga,Kota Jakarta Barat,4,positif,"pelayanan teler ramah cepat. pelayanan customer service buka kadang , rame ya antri panjang."
maybank,KCP Puri Sentra Niaga,Kota Jakarta Barat,5,positif,maybank
"lokasi strategis, pelayanan customer service,teler >ramah ,informatif, sangat membantu nasabah dalam transaksi perbankan.",KCP Radio Dalam,Kota Jakarta Selatan,5,positif,"lokasi strategis, pelayanan customer service,teler >ramah ,informatif, membantu nasabah transaksi perbankan."
"comfort,nice people, helpful,nice places",KCP Pulo Gadung,Kota Jakarta Timur,5,positif,"comfort,nice people, helpful,nice places"
ok,KCP Pulo Gadung,Kota Jakarta Timur,5,positif,ok
alhamdulilah pengantian kartu atm yang kadaluarsa cepat.trimakasih pak satpam dan mbak christie.,KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,alhamdulilah pengantian kartu atm kadaluarsa cepat.trimakasih satpam mbak christie.
