komentar,kantor,letak,rating,sentimen,komentar_clean
mantap,Maybank KCP Sumatera,Kota Medan,5,positif,mantap
"selamat pagi dan salam sejahtera mohon maf sebelumnya bapak/ibu, saya ingin menanyakan kepada pihak bri kcp thamrin medan. untuk pencairan dana bantuan umkm, apakah benar pencairan harus sesuai kode bank yang ada di eform bri ? tadi saya baru ngantarkan keluarga saya di bri unit tembung, namun pihak bank tidak mau menerima pencairan keluarga saya., dikarenakan kode bank yang ada di eform tidak sesuai dengan di bank unit tembung (). sementara di link eform bri point nomor () menjelaskan dana bpum dapat dicairkan di seluruh unit kerja bri (kantor cabang, kantor cabang pembantu, kantor kas, dan bri unit). saya mohon kepada bapak/ibu pimpinan bri kcp thamrin untuk dapat merespon dan menghubungi bri unit tembung () untuk menerima pencairan walau dengan kode bank yang berbeda agar masyarakat tidak kecewa, sebab sudah menungu lama, namun akhirnya tidak bisa. terima kasih bapak/ibu pimpinan.",Maybank KC Thamrin Medan,Kota Medan,5,positif,"selamat pagi salam sejahtera mohon maf bapak/ibu, bri kcp thamrin medan. pencairan dana bantuan umkm, pencairan sesuai kode bank eform bri ? ngantarkan keluarga bri unit tembung, bank menerima pencairan keluarga saya., kode bank eform sesuai bank unit tembung (). link eform bri point nomor () dana bpum dicairkan unit kerja bri (kantor cabang, kantor cabang pembantu, kantor kas, bri unit). mohon bapak/ibu pimpinan bri kcp thamrin merespon menghubungi bri unit tembung () menerima pencairan kode bank berbeda masyarakat kecewa, menungu lama, bisa. terima kasih bapak/ibu pimpinan."
"pelayanan bagus, ramah, dan cepat karena kebetulan sedang tidak ramai. satpam yang membantu. overal good baik customer service (cs) maupun teler-nya. atm-nya cukup sempit seperti atm yang lainya, tapi ac-nya dingin + kencang pula, jadi enak kalau ngadem",Maybank KCP Tomang Elok,Kota Medan,5,positif,"pelayanan bagus, ramah, cepat ramai. satpam membantu. overal good customer service (cs) teler-nya. atm-nya sempit atm lainya, ac-nya dingin + kencang pula, enak ngadem"
"pelayanan cepat, dan sangat membantu, sering memberi arahan terkait produk baru yang menurut saya menguntungkan saya sebagai nasabah",Maybank KCP Soekarno Hatta Malang,Kota Malang,5,positif,"pelayanan cepat, membantu, arahan terkait produk menguntungkan nasabah"
"pelayanan memuaskan, cepat lugas dan tidak bertele tele , good service ! good job !",Maybank KCP Soekarno Hatta Malang,Kota Malang,5,positif,"pelayanan memuaskan, cepat lugas bertele tele , good service ! good job !"
"ramah ramah banget, pelayanan oke. perfect sih",Maybank KCP Soekarno Hatta Malang,Kota Malang,5,positif,"ramah ramah banget, pelayanan oke. perfect sih"
pelayanan sangat memuaskan,Maybank KCP Soekarno Hatta Malang,Kota Malang,5,positif,pelayanan memuaskan
layanan extra miles,Maybank KCP Soekarno Hatta Malang,Kota Malang,5,positif,layanan extra miles
atm maybank di spbu tidar,ATM MAYBANK,Kota Malang,5,positif,atm maybank spbu tidar
pelayanan oke,Maybank Finance,Kota Malang,5,positif,pelayanan oke
banknya cukup oke pelayananya bagus dan sopan dalamnya juga bersih,Maybank Money Express (MME),Kota Malang,5,positif,banknya oke pelayananya bagus sopan dalamnya bersih
service memuaskan,BII ATM KCP Soekarno Hatta,Kota Malang,5,positif,service memuaskan
"sumpah karyawanya pada baik banget semuanya ramah merasa tersanjung disambut dengan sangat baik, mulai dari satpam, customer service serta karyawan yang lainya sangat baik sumpah sopan sekali mau yang muda dan yang umurnya sudah juga sangat baik sekali sangat merasa puas dengan pelayanan yang sangat baik dan hangat terima kasih banyak untuk semua karyawan dan terkhususnya untuk customer service yang sabar membantu saya sehat selalu dan selalu dilindungi dengan keadan apapun","Maybank KC, KCS & Premier Asia Afrika Bandung",Kota Bandung,5,positif,"sumpah karyawanya banget ramah tersanjung disambut baik, satpam, customer service karyawan lainya sumpah sopan muda umurnya puas pelayanan hangat terima kasih karyawan terkhususnya customer service sabar membantu sehat dilindungi keadan apapun"
"pelayanan di maybank asia afrika mulai dari security,cs dan semuanya sangat baik sekali ramah dan melayani dengan sangat frofesional pokonya is the best buat may bank asia afrika sukses selalu kalian hebat recomended thank you","Maybank KC, KCS & Premier Asia Afrika Bandung",Kota Bandung,5,positif,"pelayanan maybank asia afrika security,cs ramah melayani frofesional pokonya best may bank asia afrika sukses hebat recomended thank"
securitynya ramah dan customer service yang tangap,"Maybank KC, KCS & Premier Asia Afrika Bandung",Kota Bandung,5,positif,securitynya ramah customer service tangap
terima kasih ms. clara (cs) sudah dibantu dengan baik sekali untuk kebutuhan rekening anak kami,Maybank KC Malang,Kota Malang,5,positif,terima kasih ms. clara (cs) dibantu kebutuhan rekening anak
membantu,Maybank KCP Buah Batu,Kota Bandung,5,positif,membantu
"lokasinya sebelahan dengan apotik / klinik kimia farma , tepat di jalan buah batu , pelayanan amat sangat super ramah detail , sarana prasarana oke , apalagi customer servicenya ramah banget , dilayani dengan customer service yang bernama elza ananda merasa puas dan detail , thank u maybank tetap mengaung roar",Maybank KCP Buah Batu,Kota Bandung,5,positif,"lokasinya sebelahan apotik / klinik kimia farma , jalan buah batu , pelayanan super ramah detail , sarana prasarana oke , customer servicenya ramah banget , dilayani customer service bernama elza ananda puas detail , thank u maybank mengaung roar"
"pelayanan ya standard aja bank gimana ama jangan diprotes kalau pelayanan lama karena cuma csnya da lagi korona euy, aneh bae komen di bank masa korona teh. parkiran sekitar mobil motor mungkin ama yang mobil rada susah parkir baris ato nya soalnya jalur masuknya tidak ful depanya. satpam ramah pas saya dateng dan membantu.",Maybank KCP Buah Batu,Kota Bandung,5,positif,"pelayanan ya standard aja bank gimana ama diprotes pelayanan csnya da korona euy, aneh bae komen bank korona teh. parkiran mobil motor ama mobil rada susah parkir baris ato nya jalur masuknya ful depanya. satpam ramah pas dateng membantu."
teler & securitynya ramah,Maybank KCP Buah Batu,Kota Bandung,4,positif,teler & securitynya ramah
good service.,Maybank KCP Mohammad Toha,Kota Bandung,5,positif,good service.
"terima kasih pelayananya ramah mulai dari security sampai customer service semuanya ramah baik dan sangat membantu, ganti kartu atm expired cepat gpl.",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"terima kasih pelayananya ramah security customer service ramah membantu, ganti kartu atm expired cepat gpl."
pelayanan ramah dan sangat baik,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,pelayanan ramah
sangat memuaskan,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,memuaskan
"kak aku mau unblock mbanking gabisa mulu kenapa ya, waktu itu sudah kenkantor katanya tungu x jam ini sudah lebih aku coba tetep gabisa kebuka",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"kak unblock mbanking gabisa mulu ya, kenkantor tungu x jam coba tetep gabisa kebuka"
terima kasih atas pelayanan yang diberikan teler kepada nasabah .sangat ramah pak basri andiyanto sukses selalu maybank,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,terima kasih pelayanan teler nasabah .sangat ramah basri andiyanto sukses maybank
"oke pokoknya,",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"oke pokoknya,"
mantap,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,mantap
sangat bagus pelayananya,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,bagus pelayananya
"pegawainya baik, ramah dan sopan terutama pak basri andrianto/basreng",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"pegawainya baik, ramah sopan basri andrianto/basreng"
kalau ada bintang ta kasih,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,bintang ta kasih
"bagus pelayananya ramah kox, lama karna teliti juga, dan semua bagus kox","Maybank KC Bekasi, JTN-JKT",Kota Bekasi,5,positif,"bagus pelayananya ramah kox, karna teliti juga, bagus kox"
terbest,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,terbest
info dong atm maybanknya ada setor tunainya tidak ya,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,info atm maybanknya setor tunainya ya
"pelayananya ramah bngt, mulai dr security sama mba telernya ramah bngt, prosesnya juga cpt banget",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"pelayananya ramah bngt, dr security mba telernya ramah bngt, prosesnya cpt banget"
"pelayanan bagus,cepet,cs dn lainya ramah. kali ke kcp granwis slalu gagal diarahin ke kcp lain, pas disini proses cpet,dilayanin dgan baik,dibantu smpe beres",Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,"pelayanan bagus,cepet,cs dn lainya ramah. kali kcp granwis slalu gagal diarahin kcp lain, pas proses cpet,dilayanin dgan baik,dibantu smpe beres"
pelayananya keren dan prima. thanks,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,pelayananya keren prima. thanks
solusi tepat untuk perencanan keuangan dan transaksi bank internasional,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,solusi perencanan keuangan transaksi bank internasional
kcp mybank yang ini ramah banget pelayananya di tambah cepat pokoknya puas klu buat karyawanya cekatan,Maybank KCP Lippo Cikarang,Kabupaten Bekasi,5,positif,kcp mybank ramah banget pelayananya cepat pokoknya puas klu karyawanya cekatan
"petugas & pelayanan kcp disini ramah-ramah dan baik sekali, sangat aktif, cepat, dan membantu customer dengan sabar. tempatnya juga bersih sehinga sat menungu no antrian nyaman banget, dan juga pelayananya yang cepat, suka banget deh. the best pokoknya! sukses trs maybank",Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,"petugas & pelayanan kcp ramah-ramah sekali, aktif, cepat, membantu customer sabar. tempatnya bersih sehinga sat menungu antrian nyaman banget, pelayananya cepat, suka banget deh. best pokoknya! sukses trs maybank"
syarat utk petugas bca ramah dan sabar antri cso sampai nomor an masih diterima thx good semangad buat para petugasnya,Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,syarat utk petugas bca ramah sabar antri cso nomor diterima thx good semangad petugasnya
karyawanya ramah semuapak satpamnya ganteng dan sigap menyambut nsbhcsonya tau aja apa yang kubutuhkanpokoke bc grandwisata its the best,Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,karyawanya ramah semuapak satpamnya ganteng sigap menyambut nsbhcsonya tau aja kubutuhkanpokoke bc grandwisata best
pelayananya sangat memuaskan. petugasnya ramah dan cepat dalam melayani transaksi.,Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,pelayananya memuaskan. petugasnya ramah cepat melayani transaksi.
"pelayanan ny baik dan ramah,",Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,"pelayanan ny ramah,"
"pelayanan baik,ramah",Maybank KCP Grand Wisata,Kabupaten Bekasi,5,positif,"pelayanan baik,ramah"
pelayananya baik dan ramah banget. terima kasih juga buat csnya mba rini cantik & ramah.,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya ramah banget. terima kasih csnya mba rini cantik & ramah.
maf mau tanya apakah di sini bisa tukar uang receh untuk lebaran,Maybank Cibitung,Kabupaten Bekasi,5,positif,maf tukar uang receh lebaran
apakah hari ini buka?,Maybank Cibitung,Kabupaten Bekasi,4,positif,buka?
ok past respon n informatif,Maybank Cibitung,Kabupaten Bekasi,5,positif,ok past respon n informatif
pelayanan ramah dan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ramah cepat
"bagus, pelayanan ramah",Maybank Cibitung,Kabupaten Bekasi,5,positif,"bagus, pelayanan ramah"
pelayanan ok,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ok
cepat dan dekat perusahan,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepat perusahan
pelayanan yang sangat cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat
"pelayanan ramah dan cepat untuk pergantian kartu, thanks may bank",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan ramah cepat pergantian kartu, thanks may bank"
ok. memuaskan,Maybank Cibitung,Kabupaten Bekasi,5,positif,ok. memuaskan
"pelayanan ramah, mudah dan cepat.",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan ramah, mudah cepat."
"joz, pelayanan cepat. urus perpanjang kartu atm cuma manut, sebelumnya bisa daftar online dulu via mu",Maybank Cibitung,Kabupaten Bekasi,5,positif,"joz, pelayanan cepat. urus perpanjang kartu atm manut, daftar online via mu"
pelayanan sangat ramah dan cepat tangap,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ramah cepat tangap
pelayanan ganti kartu dng mbanking sangat mudah dan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ganti kartu dng mbanking mudah cepat
makasih pelayanan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,makasih pelayanan cepat
pelayanan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat
pelayananya ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya ramah
cukup puas dg pelayananya.tks,Maybank Cibitung,Kabupaten Bekasi,5,positif,puas dg pelayananya.tks
proses cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,proses cepat
pelayanan sangat baik,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan
pelayanan baik,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan
pelayanan yang sangat memuaskan,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan memuaskan
"pelayanan baik, pegawai ramah, sangat membantu",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan baik, pegawai ramah, membantu"
"proses cepat , gaperlu lama pulang kerja dateng langsung di proses",Maybank Cibitung,Kabupaten Bekasi,5,positif,"proses cepat , gaperlu pulang kerja dateng langsung proses"
para pekerja ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pekerja ramah
sangat baik,Maybank Cibitung,Kabupaten Bekasi,5,positif,
pelayananya bagus dan cepeat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya bagus cepeat
pelayanan cepat dan mudah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat mudah
bagus,Maybank Cibitung,Kabupaten Bekasi,5,positif,bagus
mantap,Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,mantap
"pelayanan ramah, penjelasan detail dan informatif.",Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,"pelayanan ramah, penjelasan detail informatif."
good service,Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,good service
ramah banget customer service dan ganteng,Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,ramah banget customer service ganteng
kantornya nyaman dan stafnya sangat ramah dan friendlu,Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,kantornya nyaman stafnya ramah friendlu
bagus sekali pelayananya sangat ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,bagus pelayananya ramah
fast respon semua masalah tempatnya nyaman dan bersih,Maybank Cibitung,Kabupaten Bekasi,5,positif,fast respon tempatnya nyaman bersih
cepat dan ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepat ramah
"pelayanan ramah, cepat, mudah dipahami dan sangat membantu",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan ramah, cepat, mudah dipahami membantu"
mantab.ngak pakai lama. jos,Maybank Cibitung,Kabupaten Bekasi,5,positif,mantab.ngak pakai lama. jos
"pelayanan cepat,baik",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan cepat,baik"
pelayanan mantap,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan mantap
pelayanan baik dan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat
sangat membantu dan ramah pelayananya,Maybank Cibitung,Kabupaten Bekasi,5,positif,membantu ramah pelayananya
pelayananya sangat baik,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya
pelayanan ramah mantap,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ramah mantap
excelent service,Maybank Indonesia KCP Kalimalang,Kota Bekasi,5,positif,excelent service
pelayananya ramah,KCP KEMANG PRATAMA,Kota Bekasi,5,positif,pelayananya ramah
"dengan suasana kantor yang baru, menjadi semakin baik utk melayani nasabah",KCP KEMANG PRATAMA,Kota Bekasi,5,positif,"suasana kantor baru, utk melayani nasabah"
ramah,KCP KEMANG PRATAMA,Kota Bekasi,5,positif,ramah
"aku suka pelayananya yang mau antri nomer disarankan datang jam pagi karna jam . akan dibagikan nomor antrian yang sudah dicetak, pelayanan memuaskan bahkan penyambutan dari pihak bank kepada nasabah di lantai dan lantai untuk teler. tks",KCP KEMANG PRATAMA,Kota Bekasi,5,positif,"suka pelayananya antri nomer disarankan jam pagi karna jam . dibagikan nomor antrian dicetak, pelayanan memuaskan penyambutan bank nasabah lantai lantai teler. tks"
tambahin dong jam buka tutupnya,KCP KEMANG PRATAMA,Kota Bekasi,4,positif,tambahin jam buka tutupnya
pelayananya bagus,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya bagus
pelayanan memuaskan,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan memuaskan
pelayanan mantap. ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan mantap. ramah
"cepat dan mudah, terima kasih",Maybank Cibitung,Kabupaten Bekasi,5,positif,"cepat mudah, terima kasih"
cepat dan ramah pelayananya,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepat ramah pelayananya
pelayanan customer service cukup cepat dan baik,Maybank Cibitung,Kabupaten Bekasi,4,positif,pelayanan customer service cepat
sangat ramah dan cepat prosesnya,Maybank Cibitung,Kabupaten Bekasi,5,positif,ramah cepat prosesnya
pelayanan bagus ramah.cepat.,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan bagus ramah.cepat.
"pelayananya sat set, mba csnya ramah terima kasih atas layananya",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayananya sat set, mba csnya ramah terima kasih layananya"
pelayanan ganti kartu atm bagus dan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ganti kartu atm bagus cepat
pelayanan sangat memuaskan,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan memuaskan
pelayananya bagus,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya bagus
alhamdulilah pelayanan memuaskan,Maybank Cibitung,Kabupaten Bekasi,5,positif,alhamdulilah pelayanan memuaskan
maybank cibitung terbaik pelayanan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,maybank cibitung terbaik pelayanan cepat
"pelayanan baik, ramah",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan baik, ramah"
"pelayanan cepat,",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan cepat,"
sangat mudah,Maybank Cibitung,Kabupaten Bekasi,5,positif,mudah
pelayanan ok,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ok
cepet banget ganti atm nyah.,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepet banget ganti atm nyah.
terima kasih banyak utk kesigapan security walaupun di hari libur,Maybank KC Bogor,Kota Bogor,5,positif,terima kasih utk kesigapan security libur
pelayanan baik sekali thanks,Maybank KC Bogor,Kota Bogor,5,positif,pelayanan thanks
"kak selamat malam , apa ada nomer yang bisa di hubungi? saya mau minta tolong",Maybank KC Bogor,Kota Bogor,5,positif,"kak selamat malam , nomer hubungi? tolong"
tempat ny nyaman. satpam ramah,Maybank KC Bogor,Kota Bogor,4,positif,ny nyaman. satpam ramah
"berlokasi di tempat yang sama yang digunakan oleh bi sebelum berganti menjadi maybank. di seberang jalan gedung megaswara, jl suryakencana bogor",Maybank KC Bogor,Kota Bogor,5,positif,"berlokasi bi berganti maybank. seberang jalan gedung megaswara, jl suryakencana bogor"
"customer service & securitynya super ramah, thanks maybank cibitung.",Maybank Cibitung,Kabupaten Bekasi,5,positif,"customer service & securitynya super ramah, thanks maybank cibitung."
pelayananya cepet satset cs-nya ramah banget.bagus banget maybank cibitung,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya cepet satset cs-nya ramah banget.bagus banget maybank cibitung
lebih cepat dan mudah,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepat mudah
pelayanan maybank cibitung sangat ramah sekali .,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan maybank cibitung ramah .
"pelayanan baik,mudah dan cepet",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan baik,mudah cepet"
mantap pelayanan satset,Maybank Cibitung,Kabupaten Bekasi,4,positif,mantap pelayanan satset
pelayanan yang sat set sat set semua customer servicenya ramah.,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan sat set sat set customer servicenya ramah.
bagus,Maybank Cibitung,Kabupaten Bekasi,5,positif,bagus
"good service and fast respon, thankyou.",Maybank Cibitung,Kabupaten Bekasi,5,positif,"good service fast respon, thankyou."
pelayananya baik ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayananya ramah
sangat ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,ramah
ganti kartu pakai aplikasi lebih cepat dan mudah,Maybank Cibitung,Kabupaten Bekasi,5,positif,ganti kartu pakai aplikasi cepat mudah
"pelayanan cepat, pegawai ramah",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan cepat, pegawai ramah"
pelayanan bagus,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan bagus
pelayanan ok,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan ok
pelayanan cepat dan ramah,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat ramah
cepet selesainya,Maybank Cibitung,Kabupaten Bekasi,5,positif,cepet selesainya
"dikira lama untuk pengantrianya karena banyak orang ,ternyata cepat,ok ini membantu banget",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pengantrianya orang ,ternyata cepat,ok membantu banget"
fast rstpont,Maybank Cibitung,Kabupaten Bekasi,5,positif,fast rstpont
sangat ramah dan baik,Maybank Cibitung,Kabupaten Bekasi,5,positif,ramah
sangat membantu pelayananya,Maybank Cibitung,Kabupaten Bekasi,5,positif,membantu pelayananya
pelayanan sat set bagus nice,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan sat set bagus nice
pelayanan sangat baik dan cepat,Maybank Cibitung,Kabupaten Bekasi,5,positif,pelayanan cepat
"pelayananya bintang . aku tadi di bantu sama mba nanda yang super ramah terima kasih ya mba nanda smg selalu sehat ya bapak security juga ramah dan baik banget . kalau perihal waktu mah tergantung problem setiap customer, jadi emg harus sabar hehe",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayananya bintang . bantu mba nanda super ramah terima kasih ya mba nanda smg sehat ya security ramah banget . perihal mah tergantung problem customer, emg sabar hehe"
"mantul, csnya ramah ramah, parkiranya luas, atm jam",Maybank Cibitung,Kabupaten Bekasi,5,positif,"mantul, csnya ramah ramah, parkiranya luas, atm jam"
yang saya alami sendiri pelayan bagus.security ramah dan bnyak membantu.,Maybank Cibitung,Kabupaten Bekasi,5,positif,alami pelayan bagus.security ramah bnyak membantu.
"pelayanan ok, satpam sat set, cepet banget pokonya",Maybank Cibitung,Kabupaten Bekasi,5,positif,"pelayanan ok, satpam sat set, cepet banget pokonya"
"posisinya pas dipingir jalan, ada parkir, toilet bersih dan sepi.",Maybank KCP Pondok Gede,Kota Bekasi,5,positif,"posisinya pas dipingir jalan, parkir, toilet bersih sepi."
bisa buka blokiran kartu maybank nyh tidak ya di snh,Maybank Kota Wisata,Kabupaten Bogor,5,positif,buka blokiran kartu maybank nyh ya snh
pelayananya bagus banget,Maybank Kota Wisata,Kabupaten Bogor,5,positif,pelayananya bagus banget
nice bank,Maybank Kota Wisata,Kabupaten Bogor,5,positif,nice bank
"pelayananya bagus, baik dan ramah juga",Maybank Kota Wisata,Kabupaten Bogor,5,positif,"pelayananya bagus, ramah"
"tidak terlalu padat, lahan parkir luas.",Maybank Kota Wisata,Kabupaten Bogor,5,positif,"padat, lahan parkir luas."
teteh tetehnya cantik cantik.,Maybank Kota Wisata,Kabupaten Bogor,5,positif,teteh tetehnya cantik cantik.
"saya mau tanya rtjh,ada no,hp yang bisa dihubungi?",Maybank,Kota Cirebon,5,positif,"rtjh,ada no,hp dihubungi?"
"mashalah pelayanan baik banget bener dibantu masalah yang ada sampai kelar, terima kasih mba laras",Maybank,Kota Cirebon,4,positif,"mashalah pelayanan banget bener dibantu kelar, terima kasih mba laras"
baik aman nyaman,Maybank,Kota Cirebon,5,positif,aman nyaman
"pelayanan baik csnya juga ramah dan dapat menjelaskan dengan baik , bintang untuk pelayananya mantap",Maybank,Kota Cirebon,5,positif,"pelayanan csnya ramah , bintang pelayananya mantap"
cara pengajuan kta di maybank bagai mana ya ka,Maybank,Kota Cirebon,5,positif,pengajuan kta maybank ya ka
mantap,Maybank,Kota Cirebon,5,positif,mantap
mantap luar biasa. sip goal,Maybank,Kota Cirebon,5,positif,mantap biasa. sip goal
pelayanan,Maybank,Kota Cirebon,5,positif,pelayanan
"halo ka tolong bantu d jawab,aku mau tuker uang harusnya kan kemarin. tapi aku lupa,apa bisa di ambil hari ini?",Bank Maybank,Kota Bogor,4,positif,"halo ka tolong bantu jawab,aku tuker uang kemarin. lupa,apa ambil ini?"
securitynya membantu sekali. thanks,Bank Maybank,Kota Bogor,5,positif,securitynya membantu sekali. thanks
layananya memuaskan,Bank Maybank,Kota Bogor,5,positif,layananya memuaskan
bnr bisa pinjm gede,Bank Maybank,Kota Bogor,5,positif,bnr pinjm gede
nice services,Bank Maybank,Kota Bogor,5,positif,nice services
"saya sebgi peneriman bantuan pemerintah merasa sangat terbantu oleh petugas bni ojarn, semoga berkah dan makin maju bni pajajaran, amin",KCP PAJAJARAN,Kota Bogor,5,positif,"sebgi peneriman bantuan pemerintah terbantu petugas bni ojarn, semoga berkah maju bni pajajaran, amin"
satpamnya ok,KCP PAJAJARAN,Kota Bogor,5,positif,satpamnya ok
transaksi lancar,KCP PAJAJARAN,Kota Bogor,5,positif,transaksi lancar
satpamnya ok tks,KCP PAJAJARAN,Kota Bogor,5,positif,satpamnya ok tks
mantap,KCP PAJAJARAN,Kota Bogor,5,positif,mantap
"walaupun antri, tapi tetap nyaman. dari petugas satpam sampai ke csnya pun ramah dan masalah mobile banking saya terselesaikan dengan baik. terima kasih",KCP PAJAJARAN,Kota Bogor,5,positif,"antri, nyaman. petugas satpam csnya ramah mobile banking terselesaikan baik. terima kasih"
sangat membantu,KCP PAJAJARAN,Kota Bogor,5,positif,membantu
"pelayananya bagus, gercep, ramah ramah. thxu",KCP PAJAJARAN,Kota Bogor,5,positif,"pelayananya bagus, gercep, ramah ramah. thxu"
layanan sangat memuaskan .terimakasih buat bapa ahmad najmi satpam sudah sangat membantu .,KCP PAJAJARAN,Kota Bogor,5,positif,layanan memuaskan .terimakasih bapa ahmad najmi satpam membantu .
karyawanya ramah-ramah,Maybank KCP Pagongan,Kota Cirebon,5,positif,karyawanya ramah-ramah
trimakasih pelayananya !,Maybank KCP Gejayan,Kabupaten Sleman,5,positif,trimakasih pelayananya !
bagus pelayanya,Maybank KCP Gejayan,Kabupaten Sleman,5,positif,bagus pelayanya
aman nyaman menyenangkan bersama maybank gejayan,Maybank KCP Gejayan,Kabupaten Sleman,5,positif,aman nyaman menyenangkan maybank gejayan
"terima kasih atas pelayananya yang sangat baik, dr customer service ke teler pelayanya ramah sekali, lama tidaknya itu proses, bnyk kelengkapan dokumen itu aturan dan prosedur.",Maybank KCP Gejayan,Kabupaten Sleman,5,positif,"terima kasih pelayananya baik, dr customer service teler pelayanya ramah sekali, tidaknya proses, bnyk kelengkapan dokumen aturan prosedur."
"karyawanya ramah sekali,matur suwun.",Maybank KCP Gejayan,Kabupaten Sleman,5,positif,"karyawanya ramah sekali,matur suwun."
